;support;itemsets
124;0.09605263157894736;Ulex baeticus subsp. baeticus, Daphne gnidium
125;0.07763157894736843;Helleborus foetidus, Daphne laureola
126;0.05;Daphne laureola, Quercus faginea
127;0.056578947368421055;Hormathophylla spinosa, Erodium cheilanthifolium
128;0.05526315789473684;Helichrysum stoechas, Thymus mastichina subsp. mastichina
129;0.0881578947368421;Helichrysum stoechas, Ulex baeticus subsp. baeticus
130;0.060526315789473685;Helleborus foetidus, Hormathophylla spinosa
131;0.06973684210526315;Helleborus foetidus, Juniperus sabina
132;0.05789473684210526;Helleborus foetidus, Ononis reuteri
133;0.05263157894736842;Helleborus foetidus, Prunus prostrata
134;0.05394736842105263;Helleborus foetidus, Quercus faginea
135;0.07105263157894737;Juniperus oxycedrus subsp. oxycedrus, Phlomis purpurea
136;0.05;Juniperus oxycedrus subsp. oxycedrus, Quercus rotundifolia
137;0.05526315789473684;Juniperus oxycedrus subsp. oxycedrus, Thymus mastichina subsp. mastichina
138;0.10263157894736842;Juniperus oxycedrus subsp. oxycedrus, Ulex baeticus subsp. baeticus
139;0.060526315789473685;Ulex baeticus subsp. baeticus, Lavandula lanata
140;0.05526315789473684;Macrochloa tenacissima, Phlomis purpurea
141;0.06184210526315789;Ulex baeticus subsp. baeticus, Macrochloa tenacissima
142;0.05;Ulex baeticus subsp. baeticus, Phlomis lychnitis
143;0.05131578947368421;Phlomis purpurea, Pinus halepensis
144;0.06315789473684211;Quercus rotundifolia, Phlomis purpurea
145;0.05789473684210526;Phlomis purpurea, Rosmarinus officinalis
146;0.05526315789473684;Phlomis purpurea, Rubia peregrina
147;0.06447368421052632;Phlomis purpurea, Thymus mastichina subsp. mastichina
148;0.10657894736842105;Ulex baeticus subsp. baeticus, Phlomis purpurea
149;0.05394736842105263;Pinus halepensis, Rosmarinus officinalis
150;0.05526315789473684;Ptilostemon hispanicus, Ulex baeticus subsp. baeticus
151;0.060526315789473685;Quercus rotundifolia, Thymus mastichina subsp. mastichina
152;0.07631578947368421;Quercus rotundifolia, Ulex baeticus subsp. baeticus
153;0.05526315789473684;Ulex baeticus subsp. baeticus, Rosmarinus officinalis
154;0.05263157894736842;Ulex baeticus subsp. baeticus, Rubia peregrina
155;0.05263157894736842;Ulex baeticus subsp. baeticus, Teucrium similatum
156;0.09473684210526316;Ulex baeticus subsp. baeticus, Thymus mastichina subsp. mastichina
157;0.05263157894736842;Helleborus foetidus, Abies pinsapo, Daphne laureola
158;0.05394736842105263;Phlomis purpurea, Brachypodium retusum, Cistus albidus
159;0.05131578947368421;Phlomis purpurea, Brachypodium retusum, Daphne gnidium
160;0.05526315789473684;Ulex baeticus subsp. baeticus, Brachypodium retusum, Phlomis purpurea
161;0.06842105263157895;Phlomis purpurea, Cistus albidus, Daphne gnidium
162;0.06973684210526315;Ulex baeticus subsp. baeticus, Cistus albidus, Daphne gnidium
163;0.05131578947368421;Helichrysum stoechas, Ulex baeticus subsp. baeticus, Cistus albidus
164;0.05131578947368421;Juniperus oxycedrus subsp. oxycedrus, Phlomis purpurea, Cistus albidus
165;0.06710526315789474;Juniperus oxycedrus subsp. oxycedrus, Ulex baeticus subsp. baeticus, Cistus albidus
166;0.05;Phlomis purpurea, Cistus albidus, Rosmarinus officinalis
167;0.06447368421052632;Ulex baeticus subsp. baeticus, Cistus albidus, Phlomis purpurea
168;0.05394736842105263;Ulex baeticus subsp. baeticus, Thymus mastichina subsp. mastichina, Cistus albidus
169;0.05131578947368421;Helleborus foetidus, Crataegus monogyna, Daphne laureola
170;0.05526315789473684;Juniperus oxycedrus subsp. oxycedrus, Ulex baeticus subsp. baeticus, Daphne gnidium
171;0.06315789473684211;Ulex baeticus subsp. baeticus, Daphne gnidium, Phlomis purpurea
172;0.05789473684210526;Juniperus oxycedrus subsp. oxycedrus, Ulex baeticus subsp. baeticus, Phlomis purpurea
173;0.05526315789473684;Ulex baeticus subsp. baeticus, Thymus mastichina subsp. mastichina, Phlomis purpurea
